"","RMS1_D2_Motor_Speed","RMS2_D2_Motor_Speed","RMS1_D3_Motor_Temperature","RMS2_D3_Motor_Temperature","RMS1_D2_Torque_Feedback","RMS2_D2_Torque_Feedback","Potentiometer_1","Potentiometer_2","Brake_1","RMS1_D3_Motor_Temperature.1","RMS2_D3_Motor_Temperature.1","RMS1_D1_Control_Board_Temperature","RMS2_D1_Control_Board_Temperature","ID","Motor1_Velocity","Motor2_Velocity","Motor1_Velocity_Smooth","Motor2_Velocity_Smooth","Motor1_Acceleration","Motor2_Acceleration","Velocity","Acceleration","Motor_Velocity_Difference"
"1",5,-5,16,17,-2.1,-2,1815,1804,13405,16,17,12.3,12.4,1,0.0674161513645878,-0.0674161513645878,0.0697680147475203,-0.0658058027987809,0.00585362826083768,-0.00559661431669744,0.0677869087731506,0.00572512128876756,0.00396221194873943
"2",0,0,16,17,0.110096634455189,-0.333159239915547,1814,1804,11055,16,17,12.4,12.3855056077691,2,0,0,0.0789265936673813,-0.0745873392801722,0.00579891385348691,-0.00554376978988461,0.0767569664737768,0.00567134182168576,0.00433925438720906
"3",0,0,16.0029248445198,17.3041263655271,-0.0952349437458637,-0.705040811824403,1817,1806,11052,16.0029248445198,17.3041263655271,12.5031631128342,12.3043588449111,3,0,0,0.0880716677203469,-0.0833539111651541,0.00573272464659508,-0.00548002857725196,0.0857127894427505,0.00560637661192352,0.00471775655519285
"4",0,0,16.2782224600442,17.587907716786,0,-0.271282507223841,1819,1807,11064,16.2782224600442,17.587907716786,12.3140532245689,12.2058123961533,4,0,0,0.097177815617265,-0.0920813774400159,0.00565542179884637,-0.00540573321659243,0.0946295965286405,0.0055305775077194,0.00509643817724917
"5",0,1,16.1,17.6810329159935,-0.368577777777769,-0.8562708472315,1815,1805,11066,16.1,17.6810329159935,12.4171667709953,12.2,5,0,0.0134832302729176,0.106220428973242,-0.100746368082952,0.00556736646892533,-0.00532122624569907,0.103483398528097,0.0054442963573122,0.00547406089029029
"6",0,0,16.1,17.4051730044536,0.0814545047064059,-0.0929212474758775,1815,1805,11072,16.1,17.4051730044536,12.5,12.2478829527821,6,0,0,0.115175712307579,-0.109326284064021,0.0054689198155161,-0.00522685020236464,0.1122509981858,0.00534788500894037,0.00584942824355857
"7",1,1,16.3376984928684,17.4094848484848,-0.116340013212924,0.892854783661785,1816,1806,11066,16.3376984928684,17.4094848484848,12.2625353535354,12.2637454545455,7,0.0134832302729176,0.0134832302729176,0.126614018155609,-0.119782435960114,0.00521743666631401,-0.00501358984186103,0.123198227057861,0.00511551325408752,0.00683158219549491
"8",0,1,16.3,17.3535418536861,0.487833333333341,-0.219806709620081,1816,1805,11088,16.3,17.3535418536861,12.4,12.3924492142583,8,0,0.0134832302729176,0.153599417933859,-0.148804080251469,0.00408003316614043,-0.00375143172512117,0.151201749092664,0.0039157324456308,0.00479533768238988
"9",-1,0,16.3840435634762,17.4271009719332,-0.198989898989886,0.246313568731954,1816,1804,11070,16.3840435634762,17.4271009719332,12.3,12.3869229603435,9,-0.0134832302729176,0,0.190189520174172,-0.185774099444678,0.00231259925617785,-0.00194075414981875,0.187981809809425,0.0021266767029983,0.00441542072949438
"10",0,1,16.163907391708,17.4332675579897,-0.1,0.0236555555555552,1820,1803,11094,16.163907391708,17.4332675579897,12.5,12.26644986559,10,0,0.0134832302729176,0.230150417190986,-0.215417607781351,0.000209269307945825,-0.000381067201106683,0.222784012486168,0.000295168254526254,0.0147328094096349
"11",1,0,16.1305183194771,17.6459022355116,0.153731674811184,0.126133333333314,1820,1805,11093,16.1305183194771,17.6459022355116,12.5120458195703,12.5072456741113,11,0.0134832302729176,0,0.264211762771146,-0.240691711549188,-0.00174344817525476,0.00106762068927444,0.252451737160167,-0.0014055344322646,0.0235200512219576
"12",0,0,16.1,17.3391038819688,0.688481209695344,-0.392907959092809,1816,1804,11090,16.1,17.3391038819688,12.5,12.5601842147694,12,0,0,0.293874242935574,-0.258596974741649,-0.00361285025943725,0.00222849453588981,0.276235608838612,-0.00292067239766353,0.0352772681939251
"13",0,1,16.1074244674081,17.6865862650627,-0.599429083174755,-0.370522803114716,1815,1805,11108,16.1074244674081,17.6865862650627,12.5,12.5,13,0,0.0134832302729176,0.327273499305058,-0.292216977116311,-0.00583768761464272,0.00434876706129269,0.309745238210684,-0.0050932273379677,0.0350565221887465
"14",0,0,16.0086519907459,17.3,0,0.0430720862339983,1818,1804,11094,16.0086519907459,17.3,12.6,12.6,14,0,0,0.375152371466863,-0.349241253703219,-0.00903614065678494,0.00792846176775483,0.362196812585041,-0.00848230121226989,0.0259111177636443
"15",1,-1,16.3187955264142,17.2176012445324,-0.431773127753311,-0.79943857331573,1817,1803,11310,16.3187955264142,17.2176012445324,12.5628792241249,12.8479064599222,15,0.0134832302729176,-0.0134832302729176,0.433261951983384,-0.401047881062984,-0.0130492486516125,0.01150432114804,0.417154916523184,-0.0122767848998263,0.0322140709203999
"16",1,0,16.1578655886812,17.6900592122547,0.538030673482982,-0.072187638950607,1815,1807,12131,16.1578655886812,17.6900592122547,12.5713022475544,12.381749014853,16,0.0134832302729176,0,0.484038223020321,-0.455885422375755,-0.0169692381947515,0.0155249778360148,0.469961822698038,-0.0162471080153831,0.0281528006445657
"17",0,-1,16.2219611848825,17.4865271611057,0.0775517011342038,0.0293954212047975,1817,1805,12102,16.2219611848825,17.4865271611057,12.5387835391446,12.537586852086,17,0,-0.0134832302729176,0.501926392106563,-0.493279127561155,-0.0193724642515786,0.0188913837186574,0.497602759833859,-0.019131923985118,0.00864726454540754
"18",0,1,16.19840455092,17.2955131896665,-0.0425427872860957,-0.0683555555555152,1815,1804,12060,16.19840455092,17.2955131896665,12.5489658377876,12.8049575170992,18,0,0.0134832302729176,0.522062893350714,-0.523442675571387,-0.0220662233035901,0.0221065381879588,0.522752784461051,-0.0220863807457745,-0.00137978222067303
"19",0,1,16.2779033853483,17.4256888512082,-0.0620390937362009,0.520113408939315,1818,1805,12047,16.2779033853483,17.4256888512082,12.5818677325581,12.5578687068513,19,0,0.0134832302729176,0.53675434152881,-0.553680321059055,-0.0246449335362669,0.0255546105348398,0.545217331293933,-0.0250997720355534,-0.0169259795302449
"20",0,1,16.1221099842418,17.2721111795659,0.11952248750697,0.522391376819452,1814,1804,12015,16.1221099842418,17.2721111795659,12.7,12.5966295312453,20,0,0.0134832302729176,0.563129621983051,-0.574247808509103,-0.0280382039289869,0.0287108502724531,0.568688715246077,-0.02837452710072,-0.0111181865260519
"21",0,1,16.0814826030343,17.2215731992894,0.0080471380471562,0.956205595027167,1815,1803,12000,16.0814826030343,17.2215731992894,12.5793931502286,12.6,21,0,0.0134832302729176,0.587039836162332,-0.593308721581739,-0.031526356153959,0.0319947620015713,0.590174278872035,-0.0317605590777651,-0.0062688854194074
"22",0,-1,16.1306625064373,16.958394160584,0.11351654514857,-1.02257485701515,1815,1806,11990,16.1306625064373,16.958394160584,12.610455311973,12.9523316271416,22,0,-0.0134832302729176,0.574406434938077,-0.577765349410701,-0.0332307506415774,0.0335848058129655,0.576085892174389,-0.0334077782272714,-0.00335891447262449
"23",0,0,16.3,17.8962878412913,0.377793570959757,0.221327066025459,1815,1806,11968,16.3,17.8962878412913,12.7991727189163,12.3029475045203,23,0,0,0.538884280057013,-0.530004101827227,-0.033751865163831,0.0334676892440029,0.53444419094212,-0.0336097772039169,0.00888017822978637
"24",0,0,16.2797902302622,17.3,-0.254705228031102,-0.229235215651282,1816,1804,11964,16.2797902302622,17.3,12.63947102766,12.5084146021362,24,0,0,0.502752587525617,-0.477472424015815,-0.034216996561031,0.0330133208441516,0.490112505770716,-0.0336151587025913,0.0252801635098017
"25",0,0,16.0797760749513,17.0760900950016,0.171980461811428,-0.252398933807354,1817,1805,14818,16.0797760749513,17.0760900950016,12.7800123168873,12.7812140975034,25,0,0,0.446539531914701,-0.441096749099445,-0.0335443391675607,0.0333457538299436,0.443818140507073,-0.0334450464987522,0.00544278281525556
"26",0,0,16.0303166963275,17.5845550982435,-0.0562138728318269,-0.838664147588385,1815,1804,12134,16.0303166963275,17.5845550982435,12.8,12.5286245917057,26,0,0,0.406636357117053,-0.407759341474178,-0.0336446124550291,0.0338034512867019,0.407197849295615,-0.0337240318708655,-0.00112298435712432
"27",0,0,16.0404521623178,17.5177694716638,0,0.271827072682794,1817,1806,12103,16.0404521623178,17.5177694716638,12.8402145692956,12.4829410219627,27,0,0,0.335791291730137,-0.349569187983882,-0.0319729910061925,0.0328551444668031,0.342680239857009,-0.0324140677364978,-0.0137778962537457
"28",0,0,16.1516366058722,17.3509003007731,0.190351267229795,0.71711491442502,1815,1803,12063,16.1516366058722,17.3509003007731,12.7496911524254,12.3954542702004,28,0,0,0.265394776194781,-0.294340903028444,-0.0301131966956238,0.0319166057897816,0.279867839611612,-0.0310149012427027,-0.0289461268336626
"29",0,-1,16.1142406853633,17.4809532950103,-0.125953342306658,1.13243910652099,1794,1785,8975,16.1142406853633,17.4809532950103,12.5790337734763,12.6592849277149,29,0,-0.0134832302729176,0.199153748657473,-0.208261640955007,-0.0282536410279753,0.0291222693356338,0.20370769480624,-0.0286879551818045,-0.00910789229753342
"30",24,-37,16.1835531035598,17.2694473915548,-19.305311778291,-13.834141686313,1743,1732,7967,16.1835531035598,17.2694473915548,12.6293501874362,12.5923666899082,30,0.323597526550022,-0.49887952009795,0.119083032708156,-0.110119593743955,-0.0254020852678469,0.0253554826256264,0.114601313226055,-0.0253787839467367,0.00896343896420149
"31",67,-58,16.0569257661335,17.6201652992766,-10.6292253521118,-11.3822410380471,1751,1744,7958,16.0569257661335,17.6201652992766,12.8192133208047,12.5204013175177,31,0.903376428285477,-0.782027355829219,0.0510123616296207,-0.0366090044545501,-0.0229017271859029,0.0225615314718776,0.0438106830420854,-0.0227316293288903,0.0144033571750705
"32",127,-118,15.9088426370296,17.4205681496747,-11.4562208398133,-13.970933333333,1759,1751,7944,15.9088426370296,17.4205681496747,12.7909188271667,12.5,32,1.71237024466053,-1.59102117220427,0.0109216424248159,-0.000156792152359168,-0.0216632188519985,0.0215070657594054,0.00553921728858753,-0.0215851423057019,0.0107648502724567
"33",143,-134,16,17.2002162118472,-8.27158737216543,-7.14094041796355,1764,1755,7932,16,17.2002162118472,12.6016387299337,12.8002568068994,33,1.92810192902721,-1.80675285657095,-0.0750302342249987,0.0821503494444662,-0.0177175844036646,0.0177621502224713,-0.0785902918347325,-0.0177398673130679,0.00712011521946755
"34",137,-138,15.922813488944,17.5799617141526,-3.51550766496319,-6.30624722098682,1774,1764,7942,15.922813488944,17.5799617141526,12.8888290903227,12.6292771632065,34,1.84720254738971,-1.86068577766262,-0.181948473073128,0.167026798098331,-0.0122160379113705,0.0134932818067542,-0.174487635585729,-0.0128546598590624,-0.014921674974797
"35",115,-117,16.3214864331874,17.4608804700695,-1.54084217733654,-0.796977777777671,1784,1771,7949,16.3214864331874,17.4608804700695,12.878751807765,12.6200564314681,35,1.55057148138552,-1.57753794193136,-0.283872073049374,0.250371050567902,-0.00646620097133761,0.00888627427578869,-0.267121561808638,-0.00767623762356315,-0.0335010224814721
"36",94,-85,16.0314619114973,17.4606931615622,-0.575924897233635,-2.73249277938256,1780,1765,7942,16.0314619114973,17.4606931615622,12.9,12.8300307126548,36,1.26742364565425,-1.14607457319799,-0.341302854493065,0.315848634062155,-0.00263088121608379,0.00481745392925287,-0.32857574427761,-0.00372416757266833,-0.0254542204309102
"37",68,-64,16.016919691525,17.602990784387,0.565386774447105,-0.0398113843044772,1814,1804,7927,16.016919691525,17.602990784387,12.9,12.7807279627742,37,0.916859658558395,-0.862926737466724,-0.404654044282157,0.390975683415053,0.00190891515687836,-0.000183150611805181,-0.397814863848605,0.00104603288434177,-0.0136783608671038
"38",40,-35,15.8414404493701,17.298974571391,-0.0168923493570499,-0.3,1819,1803,7955,15.8414404493701,17.298974571391,12.8,12.700550588473,38,0.539329210916703,-0.471913059552115,-0.464150924436736,0.477231539576293,0.00666880521293415,-0.00626993459340797,-0.470691232006514,0.00646936990317106,0.0130806151395566
"39",12,-13,15.9618460264064,17.7,0.3,-0.270583708915006,1813,1803,7935,15.9618460264064,17.7,13.0232143037527,12.6393436164732,39,0.161798763275011,-0.175281993547928,-0.505195004051641,0.52466123726712,0.0108579161322422,-0.0107720643260668,-0.51492812065938,0.0108149902291545,0.0194662332154796
"40",-2,4,16.072003270811,17.7415976904752,-0.184304135171171,-0.0143460384486544,1821,1804,7941,16.072003270811,17.7415976904752,12.8282329544307,12.5177762747454,40,-0.0269664605458351,0.0539329210916703,-0.519838720588011,0.53215764230064,0.0139874470321393,-0.0134935562746112,-0.525998181444326,0.0137405016533752,0.0123189217126296
"41",0,0,15.917867379895,17.8188140896245,-0.0387820868985245,0.201156069364166,1817,1805,7941,15.917867379895,17.8188140896245,13,12.6809477190149,41,0,0,-0.50476951444609,0.513943512605339,0.0157852550660151,-0.0150701241959287,-0.509356513525714,0.0154276896309719,0.00917399815924946
"42",0,0,16.0309865416481,17.8552467264791,-0.205736981465153,0,1816,1804,7942,16.0309865416481,17.8552467264791,13.0760508022471,12.8908143881984,42,0,0,-0.487474968579461,0.497667034628097,0.0176570908645155,-0.0169321289709006,-0.492571001603779,0.0172946099177081,0.0101920660486366
"43",-1,0,16.3975299544753,17.6954605562005,0.216064480266782,-0.3,1817,1805,7946,16.3975299544753,17.6954605562005,12.9067016605259,12.8038188590868,43,-0.0134832302729176,0,-0.513050439326836,0.525887789626557,0.0220959405236587,-0.0214502102260244,-0.519469114476697,0.0217730753748415,0.0128373502997212
"44",0,0,16.5,17.7886587391621,-0.226121723678473,-0.141590757609493,1817,1804,13690,16.5,17.7886587391621,12.3737102673429,12.8,44,0,0,-0.529110745180852,0.54728539498358,0.0264218727621275,-0.026010382322185,-0.538198070082216,0.0262161275421562,0.0181746498027289
"45",0,0,17.0408149038704,17.3089497504698,-0.365988764044926,0.320379519425106,1813,1803,7939,17.0408149038704,17.3089497504698,13.2099764606043,12.8353454023801,45,0,0,-0.52498748247023,0.548205973783291,0.0300337307859219,-0.029859306409998,-0.53659672812676,0.0299465185979599,0.0232184913130613
"46",0,1,16.8379494802411,17.6681226231426,-0.0919216376844098,0.119130434782645,1817,1805,7938,16.8379494802411,17.6681226231426,12.8326767314168,12.8,46,0,0.0134832302729176,-0.539376247728805,0.565473432345204,0.0350037356715859,-0.0349658282414022,-0.552424840037004,0.034984781956494,0.0260971846163991
"47",0,0,16.2720993665835,17.4261969468888,0.0534207019103466,-0.483226942549089,1818,1807,7933,16.2720993665835,17.4261969468888,12.9283584049786,12.8581712750159,47,0,0,-0.566416725361262,0.578741350344203,0.0411165474617313,-0.0403072058675057,-0.572579037852733,0.0407118766646185,0.0123246249829415
"48",1,0,16.4468414671112,18.2823739226207,-0.401687388987566,-0.357339704411511,1815,1805,7944,16.4468414671112,18.2823739226207,12.9529231670843,12.740766815235,48,0.0134832302729176,0,-0.570784617640775,0.573929253000156,0.0465124563511359,-0.0451211437694194,-0.572356935320465,0.0458168000602776,0.00314463535938048
"49",0,0,16.1,17.549301836846,-0.398535286284709,0.622434473567329,1819,1804,7935,16.1,17.549301836846,13.1,12.775825208386,49,0,0,-0.535298409091185,0.544419234908088,0.050179241433141,-0.0489944490520946,-0.539858821999637,0.0495868452426178,0.00912082581690365
"50",-1,1,16.3202909972719,17.1449570576942,-0.556981006331474,0.301155555555718,1820,1804,7924,16.3202909972719,17.1449570576942,12.9,12.883493375471,50,-0.0134832302729176,0.0134832302729176,-0.537692868657673,0.537385685399453,0.0562574192692104,-0.05444735588129,-0.537539277028563,0.0553523875752502,-0.000307183258219768
"51",1,1,16.3506482342947,17.5781186797185,-0.576699244780147,-0.260400000000032,1817,1803,7941,16.3506482342947,17.5781186797185,12.9333764815339,12.370587045558,51,0.0134832302729176,0.0134832302729176,-0.532763993337968,0.550116608684568,0.0624471785607422,-0.0614553130367507,-0.541440301011268,0.0619512457987465,0.0173526153465994
"52",1,0,16.3748004768351,17.5855012728816,-0.412384658143428,-0.582916527731558,1816,1807,7944,16.3748004768351,17.5855012728816,12.5326807289773,12.8075068870523,52,0.0134832302729176,0,-0.510993746267965,0.535717535580422,0.0682259419286322,-0.0675529032554695,-0.523355640924194,0.0678894225920508,0.0247237893124576
"53",0,0,16.3962498609749,17.3,0.210653345307646,-0.357680215584953,1817,1805,7933,16.3962498609749,17.3,12.9,13.002559228288,53,0,0,-0.451203175849866,0.471885632699454,0.0723853018009797,-0.0714279215025009,-0.46154440427466,0.0719066116517403,0.0206824568495886
"54",0,0,16.0558737344138,17.6479452331632,-0.0146990868080124,-0.182513480796714,1817,1804,7944,16.0558737344138,17.6479452331632,13.1,12.9,54,0,0,-0.34843879191006,0.37018850076616,0.0745138490845687,-0.0735304610366594,-0.35931364633811,0.0740221550606141,0.0217497088560997
"55",0,0,16.0277199640669,17.2768627490563,-0.418566666666685,-0.205080035571412,1817,1804,7933,16.0277199640669,17.2768627490563,13.4568662878138,13.0458052404215,55,0,0,-0.219615807654159,0.237222729354381,0.0753750078707603,-0.0740763168864906,-0.22841926850427,0.0747256623786254,0.0176069217002221
"56",0,0,16.0342598486456,17.6333060548197,-0.857714539794585,0.238408535229742,1815,1809,7953,16.0342598486456,17.6333060548197,13.0979297384135,13.1322677443799,56,0,0,-0.0682733819004424,0.0862133517941477,0.0750596924350572,-0.0736670145225595,-0.077243366847295,0.0743633534788083,0.0179399698937053
"57",0,0,16.1331359870681,17.6,-0.2,-0.421567537521058,1817,1807,7933,16.1331359870681,17.6,13.2765644890784,12.6590947666195,57,0,0,0.0604078988853633,-0.0479979298466502,0.0759644734809728,-0.0741474300724622,0.0542029143660068,0.0750559517767174,0.0124099690387131
"58",1,0,15.9635848370345,17.7392759714673,-0.463387007218182,0.246898621609498,1814,1805,7942,15.9635848370345,17.7392759714673,13.2457092341887,13.0066783866796,58,0.0134832302729176,0,0.177672884616692,-0.161327514359567,0.0775710849940794,-0.0758178426013758,0.169500199488129,0.0766944637977276,0.0163453702571251
"59",0,0,16.2059475501181,17.8461277557942,0.444260657193544,-0.140900000000001,1816,1803,7935,16.2059475501181,17.8461277557942,12.9355516973361,12.8634939223842,59,0,0,0.269299160081488,-0.244537674964705,0.0807218282446828,-0.0792859795820161,0.256918417523096,0.0800039039133494,0.0247614851167834
"60",0,0,16.4495992966216,18.2599739270158,0.161147559212748,0.242684146205974,1817,1801,7935,16.4495992966216,18.2599739270158,13.0491233211727,13.0319552519353,60,0,0,0.318519367937016,-0.30263666711437,0.0864668430611069,-0.084421700215941,0.310578017525693,0.0854442716385239,0.0158827008226454
"61",0,0,15.9752609476893,17.4480371869543,-0.097560975609897,0.120544694315651,1819,1805,7932,15.9752609476893,17.4480371869543,13.3,13.0837425944429,61,0,0,0.389668778532927,-0.372408316704026,0.0914670200936404,-0.089329394760311,0.381038547618477,0.0903982074269757,0.0172604618289007
"62",0,0,15.9,17.6,0.391231139295866,-0.399978151627759,1818,1804,7930,15.9,17.6,13.2,13.2,62,0,0,0.504032195272309,-0.486453456800812,0.0944819195486015,-0.0921875264958457,0.49524282603656,0.0933347230222236,0.0175787384714967
"63",0,0,16.2894459475831,17.5913518425038,0.123014460511594,-0.739955555555257,1815,1804,7932,16.2894459475831,17.5913518425038,13.105038971004,12.7204488551468,63,0,0,0.583527317220148,-0.564472812423316,0.099650822210776,-0.0972525582595136,0.574000064821732,0.0984516902351448,0.0190545047968319
"64",0,0,16.2692078029493,17.6277976154451,-0.40024436299005,-0.605421619820227,1817,1803,7939,16.2692078029493,17.6277976154451,13.2303207585233,13.1142061730886,64,0,0,0.656650463661524,-0.629783447487097,0.105575190301668,-0.103416111286213,0.64321695557431,0.104495650793941,0.0268670161744271
"65",0,0,16.5233067668717,17.6753904750359,0.194508670520192,-0.635251798561341,1814,1804,7941,16.5233067668717,17.6753904750359,13.125326288993,13.1243736108305,65,0,0,0.744896825107397,-0.715413940746977,0.11112563152587,-0.108940857650042,0.730155382927187,0.110033244587956,0.0294828843604203
"66",-1,0,16.2571847122175,17.7695054806284,-0.217015590200514,-0.389830508474576,1817,1805,7935,16.2571847122175,17.7695054806284,13.3935956111903,13.0964509774208,66,-0.0134832302729176,0,0.83104754284733,-0.803868005774081,0.117214578898736,-0.11473266593189,0.817457774310705,0.115973622415313,0.0271795370732488
"67",0,0,16.4,17.9244087726919,-0.121575609212937,-0.23668000889448,1819,1804,7941,16.4,17.9244087726919,13.2455979067958,13.1446453646365,67,0,0,0.87566295533228,-0.841800401457385,0.126054400234463,-0.123748709220498,0.858731678394833,0.12490155472748,0.0338625538748945
"68",0,0,16.5799050313194,17.8449742879947,-0.0952968645762435,0.582900000000384,1816,1805,7935,16.5799050313194,17.8449742879947,13.188514421377,12.8260567364423,68,0,0,0.879003158340902,-0.862328718968284,0.137847101773952,-0.134418045393167,0.870665938654593,0.13613257358356,0.0166744393726188
"69",0,0,16.4,17.6604752755587,-0.142677589496126,-0.338418332958602,1819,1804,7941,16.4,17.6604752755587,13.1,13.005361295933,69,0,0,0.907644121625231,-0.902717087246073,0.149149813594635,-0.144808333060384,0.905180604435652,0.14697907332751,0.00492703437915776
"70",0,0,16.371264925147,17.6964905546014,-0.328827540695028,0.367660651408444,1818,1806,7935,16.371264925147,17.6964905546014,13.2760096979493,13.1748280077182,70,0,0,0.997353526610285,-0.969269571152855,0.157933943760454,-0.154534613667018,0.98331154888157,0.156234278713736,0.02808395545743
"71",0,0,16.9726173412738,17.7414340658786,-0.0671934119743278,-1.19806494661841,1817,1806,7941,16.9726173412738,17.7414340658786,13.4139259289168,12.944643415939,71,0,0,1.12203127408943,-1.07309609176789,0.165417968994152,-0.162915653909014,1.09756368292866,0.164166811451583,0.0489351823215378
